digit,k,method,ablated_acc,random_mean_acc,random_std,random_ci_lo,random_ci_hi
1,50,weight,52.55,84.28766666666667,2.0684852482486358,83.53240000000002,85.02835000000002
1,50,gradient,70.48,84.28766666666667,2.0684852482486358,83.53240000000002,85.02835000000002
2,1,activation,88.85,89.18466666666667,0.21077212550261326,89.10549166666667,89.26684166666665
2,1,weight,89.2,89.18466666666667,0.21077212550261326,89.10549166666667,89.26684166666665
2,1,gradient,89.28,89.18466666666667,0.21077212550261326,89.10549166666667,89.26684166666665
2,5,activation,88.19,88.964,0.3855437718340161,88.823075,89.10171666666668
2,5,weight,88.6,88.964,0.3855437718340161,88.823075,89.10171666666668
2,5,gradient,88.49,88.964,0.3855437718340161,88.823075,89.10171666666668
2,10,activation,86.54,88.48433333333334,0.7272169934452549,88.22229166666666,88.74229166666666
2,10,weight,85.29,88.48433333333334,0.7272169934452549,88.22229166666666,88.74229166666666
2,10,gradient,86.75,88.48433333333334,0.7272169934452549,88.22229166666666,88.74229166666666
2,20,activation,79.76,87.68566666666665,0.8497634311318001,87.37113333333333,87.97903333333335
2,20,weight,75.52,87.68566666666665,0.8497634311318001,87.37113333333333,87.97903333333335
2,20,gradient,84.47,87.68566666666665,0.8497634311318001,87.37113333333333,87.97903333333335
2,50,activation,65.3,83.55133333333335,3.113458669853975,82.47061666666667,84.53971666666666
2,50,weight,52.55,83.55133333333335,3.113458669853975,82.47061666666667,84.53971666666666
2,50,gradient,70.48,83.55133333333335,3.113458669853975,82.47061666666667,84.53971666666666
3,1,activation,89.13,89.23233333333333,0.17990151626808434,89.16114166666668,89.29233333333333
3,1,weight,89.2,89.23233333333333,0.17990151626808434,89.16114166666668,89.29233333333333
3,1,gradient,89.28,89.23233333333333,0.17990151626808434,89.16114166666668,89.29233333333333
3,5,activation,88.35,88.92966666666666,0.36718281852807677,88.79474166666667,89.05633333333334
3,5,weight,88.6,88.92966666666666,0.36718281852807677,88.79474166666667,89.05633333333334
